M,err_M,T,err_T,T2,err_T2
0.26149900000000004,2.309401076758503e-06,0.3761,0.0014640127503998512,0.14145121,0.0011012303908507681
0.5350727500000001,4.618802153517006e-06,0.5497,0.002445176658012435,0.30217008999999995,0.002688227217818871
0.650447,6.928203230275509e-06,0.5646,0.0019561867668161604,0.31877316,0.0022089260970888083
0.796669,6.928203230275509e-06,0.6217,0.0017891649200426206,0.38651089000000005,0.0022246476615809946
1.035634,9.237604307034013e-06,0.6962,0.0010728984626287292,0.48469444000000006,0.0014939038193642427
0.393091,4.618802153517006e-06,0.4387,0.0030624971655315693,0.19245769,0.002687035013037399
0.9168569999999999,9.237604307034013e-06,0.6574,0.001726911179598484,0.43217476,0.0022705428189360864
