p1,p2,p3,p4,p5,p6
1.8433475,1.8241344,1.8010792,1.7842967,1.7646188,1.7469742
1.8438321,1.8250191,1.8014794,1.7831672,1.7654354,1.7470051
1.8436974,1.8243224,1.8021671,1.7844837,1.7653484,1.7474456
1.8441519,1.8246017,1.8026592,1.783853,1.7646805,1.7473891
1.8438134,1.8238088,1.802489,1.78423,1.7648372,1.7476352
1.8440039,1.8240085,1.8030486,1.7839835,1.7650848,1.7468288
1.8434289,1.8238919,1.8031204,1.7841418,1.7649879,1.7475854
1.843787,1.8239454,1.8048308,1.7838625,1.7647196,1.7475552
1.8432011,1.8243763,1.8040768,1.7843554,1.7644894,1.7489131
1.8436028,1.8242312,1.803615,1.7840838,1.7641298,1.7474017
