63	0.03312
63.5	0.07833
64	0.12115
64.5	0.16186
65	0.20056
65.5	0.2374
66	0.27189
67	0.33614
67.5	0.36606
68	0.39458
68.5	0.42179
69	0.44776
69.5	0.47253
70	0.49617
70.5	0.5191
71	0.54097
71.5	0.56184
72	0.58174
73	0.60041
73.5	0.63526
74	0.65152
74.5	0.66704
75	0.68184
75.5	0.69599
76	0.7095
76.5	0.72239
77	0.73491
77.5	0.74686
78	0.75827
78.5	0.76915
79.5	0.77955
80	0.78931
80.5	0.80753
81	0.81604
81.5	0.82416
82	0.83192
82.5	0.83934
83	0.84642
83.5	0.85318
84	0.85976
84.5	0.86604
85	0.87205
86	0.8778
86.5	0.88328
87	0.88842
87.5	0.89802
88	0.90251
88.5	0.9068
89	0.91091
89.5	0.91482
90	0.91856
90.5	0.92213
91	0.92561
91.5	0.92894
92.5	0.93211
93	0.93514
93.5	0.93803
94	0.94076
94.5	0.94585
95	0.94823
95.5	0.95051
96	0.95269
96.5	0.95477
97	0.95676
97.5	0.95867
98.5	0.96052
99	0.96229
99.5	0.96398
100	0.96559
100.5	0.96712
101	0.96996
101.5	0.9713
102	0.97257
102.5	0.9738
103	0.97497
103.5	0.97611
104	0.97717
105	0.9782
105.5	0.9792
106	0.98015
106.5	0.98106
107	0.98192
107.5	0.98274
108	0.98426
108.5	0.98498
109	0.98567
109.5	0.98633
110	0.98696
110.5	0.98756
111.5	0.98813
112	0.98869
112.5	0.98923
113	0.98975
113.5	0.99025
114	0.99073
114.5	0.99118
115	0.99202
115.5	0.99241
116	0.99279
116.5	0.99315
117	0.9935
118	0.99383
118.5	0.99415
119	0.99446
119.5	0.99476
120	0.99505
120.5	0.99532
121	0.99559
121.5	0.99584
122	0.99629
122.5	0.99651
123	0.99671
123.5	0.99691
124	0.99711
124.5	0.99729
