87.50  0.10   1.84162   0.00026  1.81459   0.00020
85.00  0.10   1.82010	0.00028  1.80474   0.00028
82.50  0.10   1.80000	0.00040  1.79725   0.00030
80.00  0.10   1.78262	0.00012  1.79002   0.00012
77.50  0.10   1.76476	0.00012  1.78390   0.00006
